,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
7,Year/Year,,-0.1%,-0.5%,1.0%,-0.007,40.6%,32.6%,0.021,-6.0%,-4.6%,-0.007,-7.3%,-9.5%,0.017,-5.7%,-7.1%,-6.7%,1.1%,-7.0%,14.0%,-12.0%,1.3%,-0.0%,2002
0,Team,82.0,19805,3172,6809,0.466,296,804,0.368,2876,6005,0.479,1406,1826,0.77,959,2614,3573,2070,553,433,1124,1704,8046,2003
1,Team/G,,241.5,38.7,83.0,0.466,3.6,9.8,0.368,35.1,73.2,0.479,17.1,22.3,0.77,11.7,31.9,43.6,25.2,6.7,5.3,13.7,20.8,98.1,2003
2,Lg Rank,,20,2,5,2.0,24,27,6.0,1,1,5.0,23,25,10.0,17,3,7,2,29,15,6,7,7,2003
3,Year/Year,,0.0%,-0.1%,-1.1%,0.005,-25.3%,-23.2%,-0.01,3.5%,2.8%,0.003,0.5%,4.1%,-0.028,-9.4%,2.0%,-1.3%,3.9%,5.5%,1.4%,2.5%,-2.0%,-1.2%,2003
4,Opponent,82.0,19805,3005,6873,0.437,472,1362,0.347,2533,5511,0.46,1394,1853,0.752,974,2444,3418,1871,571,405,1116,1686,7876,2003
5,Opponent/G,,241.5,36.6,83.8,0.437,5.8,16.6,0.347,30.9,67.2,0.46,17.0,22.6,0.752,11.9,29.8,41.7,22.8,7.0,4.9,13.6,20.6,96.0,2003
6,Lg Rank,,20,21,25,10.0,26,26,14.0,18,19,13.0,6,7,10.0,15,10,12,24,5,11,27,22,18,2003
7,Year/Year,,0.0%,1.5%,3.3%,-0.008,-4.1%,3.1%,-0.026,2.6%,3.3%,-0.004,-4.0%,-5.4%,0.011,6.8%,5.1%,5.6%,0.9%,5.4%,-0.5%,1.7%,0.6%,0.1%,2003
0,Team,82.0,19755,3033,6571,0.462,326,897,0.363,2707,5674,0.477,1361,1743,0.781,875,2645,3520,1890,561,462,1043,1731,7753,2004
1,Team/G,,240.9,37.0,80.1,0.462,4.0,10.9,0.363,33.0,69.2,0.477,16.6,21.3,0.781,10.7,32.3,42.9,23.0,6.8,5.6,12.7,21.1,94.5,2004
2,Lg Rank,,23,3,14,2.0,27,27,5.0,2,4,4.0,26,26,5.0,25,3,8,6,26,7,2,13,10,2004
3,Year/Year,,-0.3%,-4.4%,-3.5%,-0.004,10.1%,11.6%,-0.005,-5.9%,-5.5%,-0.002,-3.2%,-4.5%,0.011,-8.8%,1.2%,-1.5%,-8.7%,1.4%,6.7%,-7.2%,1.6%,-3.6%,2004
4,Opponent,82.0,19755,2741,6625,0.414,395,1181,0.334,2346,5444,0.431,1426,1893,0.753,1001,2400,3401,1701,547,296,1106,1656,7303,2004
5,Opponent/G,,240.9,33.4,80.8,0.414,4.8,14.4,0.334,28.6,66.4,0.431,17.4,23.1,0.753,12.2,29.3,41.5,20.7,6.7,3.6,13.5,20.2,89.1,2004
6,Lg Rank,,23,9,16,4.0,7,9,6.0,10,21,3.0,9,10,19.0,15,7,12,11,1,1,27,24,7,2004
7,Year/Year,,-0.3%,-8.8%,-3.6%,-0.023,-16.3%,-13.3%,-0.012,-7.4%,-1.2%,-0.029,2.3%,2.2%,0.001,2.8%,-1.8%,-0.5%,-9.1%,-4.2%,-26.9%,-0.9%,-1.8%,-7.3%,2004
0,Team,82.0,19755,3045,6629,0.459,395,1145,0.345,2650,5484,0.483,1449,1820,0.796,947,2580,3527,1918,460,447,1079,1774,7934,2005
1,Team/G,,240.9,37.1,80.8,0.459,4.8,14.0,0.345,32.3,66.9,0.483,17.7,22.2,0.796,11.5,31.5,43.0,23.4,5.6,5.5,13.2,21.6,96.8,2005
2,Lg Rank,,24,6,12,4.0,21,21,22.0,6,10,4.0,26,30,1.0,22,5,6,4,30,10,2,6,16,2005
3,Year/Year,,0.0%,0.4%,0.9%,-0.002,21.2%,27.6%,-0.018,-2.1%,-3.3%,0.006,6.5%,4.4%,0.015,8.2%,-2.5%,0.2%,1.5%,-18.0%,-3.2%,3.5%,2.5%,2.3%,2005
4,Opponent,82.0,19755,2967,6777,0.438,468,1291,0.363,2499,5486,0.456,1413,1880,0.752,1032,2359,3391,1783,540,323,963,1629,7815,2005
5,Opponent/G,,240.9,36.2,82.6,0.438,5.7,15.7,0.363,30.5,66.9,0.456,17.2,22.9,0.752,12.6,28.8,41.4,21.7,6.6,3.9,11.7,19.9,95.3,2005
6,Lg Rank,,24,18,24,7.0,19,14,19.0,18,24,7.0,4,4,13.0,24,7,14,21,3,2,30,30,9,2005
7,Year/Year,,0.0%,8.2%,2.3%,0.024,18.5%,9.3%,0.028,6.5%,0.8%,0.025,-0.9%,-0.7%,-0.002,3.1%,-1.7%,-0.3%,4.8%,-1.3%,9.1%,-12.9%,-1.6%,7.0%,2005
0,Team,82.0,19855,2888,6340,0.456,310,942,0.329,2578,5398,0.478,1436,1895,0.758,811,2422,3233,1716,559,471,1189,1889,7522,2006
1,Team/G,,242.1,35.2,77.3,0.456,3.8,11.5,0.329,31.4,65.8,0.478,17.5,23.1,0.758,9.9,29.5,39.4,20.9,6.8,5.7,14.5,23.0,91.7,2006
2,Lg Rank,,13,22,21,11.0,27,25,29.0,6,6,14.0,26,28,11.0,29,18,27,12,19,5,17,17,28,2006
3,Year/Year,,0.5%,-5.2%,-4.4%,-0.004,-21.5%,-17.7%,-0.016,-2.7%,-1.6%,-0.006,-0.9%,4.1%,-0.038,-14.4%,-6.1%,-8.3%,-10.5%,21.5%,5.4%,10.2%,6.5%,-5.2%,2006
4,Opponent,82.0,19855,2852,6474,0.441,447,1229,0.364,2405,5245,0.459,1525,2072,0.736,974,2411,3385,1554,539,374,1139,1736,7676,2006
5,Opponent/G,,242.1,34.8,79.0,0.441,5.5,15.0,0.364,29.3,64.0,0.459,18.6,25.3,0.736,11.9,29.4,41.3,19.0,6.6,4.6,13.9,21.2,93.6,2006
6,Lg Rank,,13,9,17,9.0,8,7,22.0,10,21,6.0,9,10,7.0,24,12,20,7,7,12,22,25,8,2006
7,Year/Year,,0.5%,-3.9%,-4.5%,0.003,-4.5%,-4.8%,0.001,-3.8%,-4.4%,0.003,7.9%,10.2%,-0.016,-5.6%,2.2%,-0.2%,-12.8%,-0.2%,15.8%,18.3%,6.6%,-1.8%,2006
0,Team,82.0,20005,2997,6503,0.461,384,1089,0.353,2613,5414,0.483,1499,1892,0.792,819,2474,3293,1848,532,325,1278,1758,7877,2007
1,Team/G,,244.0,36.5,79.3,0.461,4.7,13.3,0.353,31.9,66.0,0.483,18.3,23.1,0.792,10.0,30.2,40.2,22.5,6.5,4.0,15.6,21.4,96.1,2007
2,Lg Rank,,2,14,16,13.0,25,25,17.0,4,6,16.0,23,29,3.0,25,15,21,7,28,24,21,10,20,2007
3,Year/Year,,0.8%,3.8%,2.6%,0.005,23.9%,15.6%,0.024,1.4%,0.3%,0.005,4.4%,-0.2%,0.034,1.0%,2.1%,1.9%,7.7%,-4.8%,-31.0%,7.5%,-6.9%,4.7%,2007
4,Opponent,82.0,20005,3075,6689,0.46,518,1488,0.348,2557,5201,0.492,1510,1987,0.76,957,2438,3395,1782,583,360,1163,1679,8178,2007
5,Opponent/G,,244.0,37.5,81.6,0.46,6.3,18.1,0.348,31.2,63.4,0.492,18.4,24.2,0.76,11.7,29.7,41.4,21.7,7.1,4.4,14.2,20.5,99.7,2007
6,Lg Rank,,2,21,24,16.0,17,21,5.0,21,22,20.0,9,7,25.0,22,12,19,19,14,12,25,27,19,2007
7,Year/Year,,0.8%,7.8%,3.3%,0.019,15.9%,21.1%,-0.016,6.3%,-0.8%,0.033,-1.0%,-4.1%,0.024,-1.7%,1.1%,0.3%,14.7%,8.2%,-3.7%,2.1%,-3.3%,6.5%,2007
