,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
1,Team/G,,240.9,43.7,92.2,0.473,10.3,29.9,0.344,33.4,62.4,0.536,17.8,23.4,0.761,11.1,36.2,47.3,27.0,7.4,5.4,14.8,21.1,115.4,2019
2,Lg Rank,,24,2,3,6.0,22,21,24.0,1,4,8.0,13,11,18.0,8,6,5,3,18,7,24,19,3,2019
3,Year/Year,,-1.0%,2.3%,4.4%,-0.01,0.6%,5.9%,-0.018,2.9%,3.8%,-0.005,10.4%,11.9%,-0.01,27.7%,1.5%,6.7%,1.0%,-7.2%,-9.1%,-0.7%,10.3%,3.3%,2019
4,Opponent,82.0,19755,3549,7610,0.466,1006,2766,0.364,2543,4844,0.525,1471,1926,0.764,898,2855,3753,2174,702,445,1113,1722,9575,2019
5,Opponent/G,,240.9,43.3,92.8,0.466,12.3,33.7,0.364,31.0,59.1,0.525,17.9,23.5,0.764,11.0,34.8,45.8,26.5,8.6,5.4,13.6,21.0,116.8,2019
6,Lg Rank,,24,29,28,21.0,27,26,25.0,24,25,19.0,19,19,11.0,22,16,20,29,28,23,16,13,27,2019
7,Year/Year,,-1.0%,3.7%,0.9%,0.012,12.9%,10.2%,0.009,0.4%,-3.7%,0.022,11.7%,14.7%,-0.021,1.2%,0.4%,0.6%,11.7%,4.8%,29.4%,-6.2%,3.2%,5.8%,2019
0,Team,72.0,17430,3065,6598,0.465,982,2656,0.37,2083,3942,0.528,1229,1687,0.729,797,2551,3348,1932,539,358,1181,1524,8341,2020
1,Team/G,,242.1,42.6,91.6,0.465,13.6,36.9,0.37,28.9,54.8,0.528,17.1,23.4,0.729,11.1,35.4,46.5,26.8,7.5,5.0,16.4,21.2,115.8,2020
2,Lg Rank,,13,2,2,13.0,5,7,7.0,15,17,12.0,20,14,29.0,2,10,6,3,19,13,29,17,5,2020
3,Year/Year,,0.5%,-2.5%,-0.6%,-0.009,32.8%,23.5%,0.026,-13.4%,-12.2%,-0.007,-4.3%,0.0%,-0.033,-0.1%,-2.1%,-1.7%,-0.7%,0.6%,-7.5%,10.7%,0.2%,0.4%,2020
4,Opponent,72.0,17430,3077,6611,0.465,880,2438,0.361,2197,4173,0.526,1400,1775,0.789,727,2501,3228,1763,615,348,1045,1519,8434,2020
5,Opponent/G,,242.1,42.7,91.8,0.465,12.2,33.9,0.361,30.5,58.0,0.526,19.4,24.7,0.789,10.1,34.7,44.8,24.5,8.5,4.8,14.5,21.1,117.1,2020
6,Lg Rank,,13,26,28,19.0,14,14,18.0,25,26,16.0,25,23,28.0,13,15,13,14,28,14,15,11,27,2020
7,Year/Year,,0.5%,-1.3%,-1.1%,-0.001,-0.4%,0.4%,-0.003,-1.6%,-1.9%,0.002,8.4%,5.0%,0.025,-7.8%,-0.2%,-2.0%,-7.6%,-0.2%,-10.9%,6.9%,0.5%,0.3%,2020
