,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
6,Lg Rank,,13,23,21,23.0,20,14,22.0,23,21,23.0,23,23,3.0,18,23,23,22,8,1,23,1984,10,23
7,Year/Year,,0.4%,-2.0%,-4.6%,0.014,-12.7%,-19.0%,0.022,-1.8%,-4.1%,0.012,19.9%,19.5%,0.003,-10.3%,1.5%,-2.5%,2.7%,-6.0%,-3.6%,1.8%,1984,-7.8%,-10.8%
0,Team,82.0,19830,3876,7976,0.486,73,235,0.311,3803,7741,0.491,2016,2568,0.785,1331,2303,3634,2266,1382,2152,9841,1985,894,424
1,Team/G,,241.8,47.3,97.3,0.486,0.9,2.9,0.311,46.4,94.4,0.491,24.6,31.3,0.785,16.2,28.1,44.3,27.6,16.9,26.2,120.0,1985,10.9,5.2
2,Lg Rank,,6,2,2,14.0,10,11,4.0,2,2,14.0,3,5,5.0,2,19,8,7,6,17,1,1985,1,12
3,Year/Year,,0.1%,-1.5%,-0.1%,-0.007,-5.2%,-7.8%,0.009,-1.4%,0.2%,-0.008,-8.4%,-4.5%,-0.033,17.5%,-5.8%,1.6%,-8.7%,2.8%,-5.6%,-3.0%,1985,25.7%,20.5%
4,Opponent,82.0,19830,3775,7379,0.512,64,254,0.252,3711,7125,0.521,2027,2648,0.765,1181,2628,3809,2154,1744,2178,9641,1985,670,589
5,Opponent/G,,241.8,46.0,90.0,0.512,0.8,3.1,0.252,45.3,86.9,0.521,24.7,32.3,0.765,14.4,32.0,46.5,26.3,21.3,26.6,117.6,1985,8.2,7.2
6,Lg Rank,,6,21,15,22.0,4,12,3.0,21,14,22.0,21,20,14.0,14,21,22,13,1,4,22,1985,10,23
7,Year/Year,,0.1%,-6.0%,-4.8%,-0.007,3.2%,23.9%,-0.05,-6.1%,-5.5%,-0.003,-5.4%,-7.4%,0.016,-3.8%,-4.0%,-3.9%,-12.2%,13.4%,-4.1%,-5.8%,1985,-0.1%,8.1%
0,Team,82.0,19755,3705,7868,0.471,71,305,0.233,3634,7563,0.48,1929,2416,0.798,1223,2317,3540,2140,1336,2164,9410,1986,826,421
1,Team/G,,240.9,45.2,96.0,0.471,0.9,3.7,0.233,44.3,92.2,0.48,23.5,29.5,0.798,14.9,28.3,43.2,26.1,16.3,26.4,114.8,1986,10.1,5.1
2,Lg Rank,,20,5,1,21.0,13,9,16.0,4,2,20.0,9,13,1.0,7,18,14,12,2,15,4,1986,3,10
