,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
2,Lg Rank,,8.0,14.0,4.0,27.0,24.0,28.0,9.0,7.0,1.0,29.0,25.0,18.0,29.0,4.0,25.0,19.0,10.0,6.0,12.0,18.0,21.0,22.0,2005
3,Year/Year,,,,,,,,,,,,,,,,,,,,,,,,2005
4,Opponent,82.0,19880.0,3015.0,6507.0,0.463,442.0,1224.0,0.361,2573.0,5283.0,0.487,1748.0,2279.0,0.767,959.0,2586.0,3545.0,1768.0,624.0,446.0,1297.0,1858.0,8220.0,2005
5,Opponent/G,,242.4,36.8,79.4,0.463,5.4,14.9,0.361,31.4,64.4,0.487,21.3,27.8,0.767,11.7,31.5,43.2,21.6,7.6,5.4,15.8,22.7,100.2,2005
6,Lg Rank,,8.0,20.0,13.0,26.0,10.0,7.0,17.0,20.0,12.0,26.0,26.0,23.0,23.0,13.0,27.0,25.0,19.0,18.0,25.0,5.0,16.0,21.0,2005
7,Year/Year,,,,,,,,,,,,,,,,,,,,,,,,2005
0,Team,82.0,19905,2961,6843,0.433,428,1261,0.339,2533,5582,0.454,1593,2186,0.729,990,2270,3260,1717,822,354,1167,1960,7943,2006
1,Team/G,,242.7,36.1,83.5,0.433,5.2,15.4,0.339,30.9,68.1,0.454,19.4,26.7,0.729,12.1,27.7,39.8,20.9,10.0,4.3,14.2,23.9,96.9,2006
2,Lg Rank,,5,14,2,30.0,19,19,23.0,8,3,30.0,19,14,21.0,7,27,24,10,1,19,14,24,18,2006
3,Year/Year,,0.1%,0.0%,-0.2%,0.001,33.7%,43.1%,-0.024,-4.1%,-6.6%,0.012,7.1%,4.3%,0.019,-8.6%,-2.8%,-4.6%,-4.3%,18.3%,-19.5%,-2.1%,3.5%,2.8%,2006
4,Opponent,82.0,19905,3065,6410,0.478,458,1285,0.356,2607,5125,0.509,1683,2283,0.737,940,2667,3607,1881,577,441,1464,1929,8271,2006
5,Opponent/G,,242.7,37.4,78.2,0.478,5.6,15.7,0.356,31.8,62.5,0.509,20.5,27.8,0.737,11.5,32.5,44.0,22.9,7.0,5.4,17.9,23.5,100.9,2006
6,Lg Rank,,5,24,10,28.0,9,9,15.0,26,12,28.0,23,24,9.0,18,29,28,26,12,28,1,7,24,2006
7,Year/Year,,0.1%,1.7%,-1.5%,0.015,3.6%,5.0%,-0.005,1.3%,-3.0%,0.022,-3.7%,0.2%,-0.03,-2.0%,3.1%,1.7%,6.4%,-7.5%,-1.1%,12.9%,3.8%,0.6%,2006
0,Team,82.0,20005,2960,6643,0.446,457,1280,0.357,2503,5363,0.467,1568,2136,0.734,920,2346,3266,1836,638,369,1224,1985,7945,2007
1,Team/G,,244.0,36.1,81.0,0.446,5.6,15.6,0.357,30.5,65.4,0.467,19.1,26.0,0.734,11.2,28.6,39.8,22.4,7.8,4.5,14.9,24.2,96.9,2007
2,Lg Rank,,2,17,10,25.0,21,21,12.0,14,8,27.0,15,13,22.0,15,26,23,8,5,19,13,29,18,2007
3,Year/Year,,0.5%,-0.0%,-2.9%,0.013,6.8%,1.5%,0.018,-1.2%,-3.9%,0.013,-1.6%,-2.3%,0.005,-7.1%,3.3%,0.2%,6.9%,-22.4%,4.2%,4.9%,1.3%,0.0%,2007
4,Opponent,82.0,20005,2999,6450,0.465,452,1245,0.363,2547,5205,0.489,1802,2404,0.75,929,2562,3491,1717,603,437,1296,1786,8252,2007
5,Opponent/G,,244.0,36.6,78.7,0.465,5.5,15.2,0.363,31.1,63.5,0.489,22.0,29.3,0.75,11.3,31.2,42.6,20.9,7.4,5.3,15.8,21.8,100.6,2007
6,Lg Rank,,2,16,12,22.0,7,8,21.0,20,23,17.0,28,28,13.0,18,27,25,14,18,27,5,19,21,2007
7,Year/Year,,0.5%,-2.2%,0.6%,-0.013,-1.3%,-3.1%,0.007,-2.3%,1.6%,-0.019,7.1%,5.3%,0.012,-1.2%,-3.9%,-3.2%,-8.7%,4.5%,-0.9%,-11.5%,-7.4%,-0.2%,2007
0,Team,82.0,19880,2960,6554,0.452,529,1443,0.367,2431,5111,0.476,1510,2115,0.714,892,2440,3332,1748,614,402,1204,1777,7959,2008
1,Team/G,,242.4,36.1,79.9,0.452,6.5,17.6,0.367,29.6,62.3,0.476,18.4,25.8,0.714,10.9,29.8,40.6,21.3,7.5,4.9,14.7,21.7,97.1,2008
2,Lg Rank,,3,24,20,17.0,16,16,12.0,20,19,17.0,18,11,29.0,20,22,26,16,13,10,22,21,19,2008
3,Year/Year,,-0.6%,0.0%,-1.3%,0.006,15.8%,12.7%,0.01,-2.9%,-4.7%,0.009,-3.7%,-1.0%,-0.02,-3.0%,4.0%,2.0%,-4.8%,-3.8%,8.9%,-1.6%,-10.5%,0.2%,2008
4,Opponent,82.0,19880,3115,6684,0.466,517,1456,0.355,2598,5228,0.497,1571,2102,0.747,999,2588,3587,1785,625,476,1177,1721,8318,2008
5,Opponent/G,,242.4,38.0,81.5,0.466,6.3,17.8,0.355,31.7,63.8,0.497,19.2,25.6,0.747,12.2,31.6,43.7,21.8,7.6,5.8,14.4,21.0,101.4,2008
6,Lg Rank,,3,20,19,23.0,12,12,8.0,23,18,24.0,18,19,6.0,27,23,24,13,20,30,9,17,20,2008
7,Year/Year,,-0.6%,3.9%,3.6%,0.001,14.4%,16.9%,-0.008,2.0%,0.4%,0.008,-12.8%,-12.6%,-0.002,7.5%,1.0%,2.7%,4.0%,3.6%,8.9%,-9.2%,-3.6%,0.8%,2008
0,Team,82.0,19930,2866,6299,0.455,490,1339,0.366,2376,4960,0.479,1455,1965,0.74,886,2366,3252,1741,580,397,1279,1754,7677,2009
