,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
1,Team/G,,240.6,48.3,91.6,0.528,18.2,24.8,0.736,15.1,29.7,44.7,30.7,23.5,115.0,1983,10.3,5.8,19.3,0.1,1.2,0.104,48.2,90.4,0.533
2,Lg Rank,,18,1,7,1.0,19,20,15.0,11,11,10,1,1,2,1983,3,9,15,23,23,23.0,1,3,1.0
3,Year/Year,,-0.6%,1.1%,-1.0%,0.011,-3.5%,-6.0%,0.019,-1.8%,-2.9%,-2.5%,6.9%,-3.4%,0.4%,1983,-0.5%,-7.4%,7.9%,-23.1%,2.1%,-0.034,1.2%,-1.0%,0.012
4,Opponent,82.0,19730,3734,7617,0.49,1455,2008,0.725,1294,2166,3460,2389,1863,8978,1983,766,380,1562,55,212,0.259,3679,7405,0.497
5,Opponent/G,,240.6,45.5,92.9,0.49,17.7,24.5,0.725,15.8,26.4,42.2,29.1,22.7,109.5,1983,9.3,4.6,19.0,0.7,2.6,0.259,44.9,90.3,0.497
6,Lg Rank,,18,17,18,15.0,1,1,6.0,17,1,5,22,22,12,1983,17,5,12,21,21,16.0,17,18,15.0
7,Year/Year,,-0.6%,-0.3%,-0.8%,0.003,1.5%,0.0%,0.011,1.5%,-3.9%,-2.0%,3.0%,-7.0%,-0.3%,1983,6.7%,-12.6%,5.3%,-29.5%,-0.5%,-0.107,0.3%,-0.8%,0.006
0,Team,82.0,19780,3854,7250,0.532,1712,2272,0.754,1095,2499,3594,2455,2054,9478,1984,726,478,1578,58,226,0.257,3796,7024,0.54
1,Team/G,,241.2,47.0,88.4,0.532,20.9,27.7,0.754,13.4,30.5,43.8,29.9,25.0,115.6,1984,8.9,5.8,19.2,0.7,2.8,0.257,46.3,85.7,0.54
2,Lg Rank,,16,3,8,1.0,18,18,16.0,17,4,8,2,8,4,1984,7,8,19,7,9,8.0,3,12,1.0
3,Year/Year,,0.3%,-2.8%,-3.5%,0.004,14.5%,11.9%,0.017,-11.3%,2.7%,-2.0%,-2.5%,6.4%,0.5%,1984,-14.0%,-0.2%,-0.4%,480.0%,135.4%,0.152,-4.0%,-5.3%,0.007
4,Opponent,82.0,19780,3672,7600,0.483,1763,2346,0.751,1253,2154,3407,2261,1973,9170,1984,797,376,1443,63,223,0.283,3609,7377,0.489
5,Opponent/G,,241.2,44.8,92.7,0.483,21.5,28.6,0.751,15.3,26.3,41.5,27.6,24.1,111.8,1984,9.7,4.6,17.6,0.8,2.7,0.283,44.0,90.0,0.489
6,Lg Rank,,16,18,20,6.0,7,6,5.0,21,1,8,19,20,16,1984,22,4,12,21,22,19.0,18,20,7.0
7,Year/Year,,0.3%,-1.7%,-0.2%,-0.007,21.2%,16.8%,0.027,-3.2%,-0.6%,-1.5%,-5.4%,5.9%,2.1%,1984,4.0%,-1.1%,-7.6%,14.5%,5.2%,0.023,-1.9%,-0.4%,-0.008
