,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
3,Year/Year,,0.0%,3.4%,1.6%,0.009,14.9%,7.7%,0.047,3.0%,-5.2%,-2.5%,6.8%,0.6%,5.8%,1980,26.0%,15.1%,0.5%,,,,2.3%,-1.0%,0.016
4,Opponent,82.0,19780,3707,7492,0.495,1969,2556,0.77,1293,2432,3725,2143,2042,9438,1980,813,390,1694,55.0,198.0,0.278,3652,7294,0.501
5,Opponent/G,,241.2,45.2,91.4,0.495,24.0,31.2,0.77,15.8,29.7,45.4,26.1,24.9,115.1,1980,9.9,4.8,20.7,0.7,2.4,0.278,44.5,89.0,0.501
6,Lg Rank,,16,16,13,15.0,21,20,16.0,17,11,15,13,9,20,1980,16,6,3,5.0,5.0,12.0,17,14,15.0
7,Year/Year,,0.0%,3.0%,0.5%,0.012,3.3%,2.0%,0.009,5.6%,-2.3%,0.3%,1.4%,4.1%,3.6%,1980,8.3%,3.2%,8.7%,,,,1.4%,-2.2%,0.018
0,Team,82.0,19830,3505,7255,0.483,1783,2386,0.747,1137,2205,3342,1976,1917,8849,1981,861,314,1461,56,236,0.237,3449,7019,0.491
1,Team/G,,241.8,42.7,88.5,0.483,21.7,29.1,0.747,13.9,26.9,40.8,24.1,23.4,107.9,1981,10.5,3.8,17.8,0.7,2.9,0.237,42.1,85.6,0.491
2,Lg Rank,,5,14,13,13.0,12,10,14.0,18,20,19,18,3,12,1981,4,20,9,6,5,11.0,15,14,13.0
3,Year/Year,,0.3%,-7.8%,-5.4%,-0.012,5.0%,4.9%,0.001,-8.0%,-4.3%,-5.6%,-12.8%,-11.6%,-5.3%,1981,-2.3%,-31.3%,-9.4%,33.3%,23.6%,0.017,-8.3%,-6.2%,-0.011
4,Opponent,82.0,19830,3555,7092,0.501,1563,2082,0.751,1147,2457,3604,2088,1994,8716,1981,689,452,1660,43,172,0.25,3512,6920,0.508
5,Opponent/G,,241.8,43.4,86.5,0.501,19.1,25.4,0.751,14.0,30.0,44.0,25.5,24.3,106.3,1981,8.4,5.5,20.2,0.5,2.1,0.25,42.8,84.4,0.508
6,Lg Rank,,5,14,7,16.0,1,1,13.0,7,17,14,12,17,9,1981,4,15,5,15,16,15.0,14,6,16.0
7,Year/Year,,0.3%,-4.1%,-5.3%,0.006,-20.6%,-18.5%,-0.02,-11.3%,1.0%,-3.2%,-2.6%,-2.4%,-7.6%,1981,-15.3%,15.9%,-2.0%,-21.8%,-13.1%,-0.028,-3.8%,-5.1%,0.007
0,Team,82.0,19830,3523,7178,0.491,1603,2171,0.738,1168,2273,3441,2075,2195,8707,1982,719,338,1486,58,214,0.271,3465,6964,0.498
1,Team/G,,241.8,43.0,87.5,0.491,19.5,26.5,0.738,14.2,27.7,42.0,25.3,26.8,106.2,1982,8.8,4.1,18.1,0.7,2.6,0.271,42.3,84.9,0.498
2,Lg Rank,,6,13,14,13.0,21,19,15.0,10,20,18,11,15,16,1982,9,21,16,6,6,9.0,14,16,12.0
