,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,82.0,19780,3366,7079,0.475,1832,2364,0.775,1117,2335,3452,2194,1989,8697,1988,671,380,1275,133,410,0.324,3233,6669,0.485
1,Team/G,,241.2,41.0,86.3,0.475,22.3,28.8,0.775,13.6,28.5,42.1,26.8,24.3,106.1,1988,8.2,4.6,15.5,1.6,5.0,0.324,39.4,81.3,0.485
2,Lg Rank,,9,17,16,13.0,11,13,8.0,16,15,19,8,14,15,1988,17,19,5,11,12,7.0,18,15,15.0
3,Year/Year,,0.0%,-2.6%,-2.8%,0.001,-6.2%,-7.3%,0.009,-0.2%,0.6%,0.3%,7.3%,-8.8%,-3.9%,1988,-20.6%,-3.3%,1.2%,-28.1%,-28.3%,0.001,-1.2%,-0.6%,-0.003
4,Opponent,82.0,19780,3344,7063,0.473,1832,2410,0.76,1172,2400,3572,2135,1952,8653,1988,621,449,1346,133,442,0.301,3211,6621,0.485
5,Opponent/G,,241.2,40.8,86.1,0.473,22.3,29.4,0.76,14.3,29.3,43.6,26.0,23.8,105.5,1988,7.6,5.5,16.4,1.6,5.4,0.301,39.2,80.7,0.485
6,Lg Rank,,9,8,7,8.0,12,13,7.0,14,12,14,13,15,8,1988,4,15,13,16,18,7.0,6,6,9.0
7,Year/Year,,0.0%,3.0%,2.3%,0.003,-13.5%,-13.8%,0.003,-1.6%,-3.1%,-2.6%,6.0%,-3.6%,-0.9%,1988,-5.8%,-2.4%,-13.2%,10.8%,6.5%,0.012,2.7%,2.0%,0.003
0,Team,82.0,19755,3399,7167,0.474,1955,2382,0.821,1133,2272,3405,2071,1953,8932,1989,821,323,1305,179,567,0.316,3220,6600,0.488
1,Team/G,,240.9,41.5,87.4,0.474,23.8,29.0,0.821,13.8,27.7,41.5,25.3,23.8,108.9,1989,10.0,3.9,15.9,2.2,6.9,0.316,39.3,80.5,0.488
2,Lg Rank,,21,18,16,13.0,6,10,1.0,18,20,24,14,14,11,1989,6,24,6,12,12,14.0,19,15,12.0
3,Year/Year,,-0.1%,1.0%,1.2%,-0.001,6.7%,0.8%,0.046,1.4%,-2.7%,-1.4%,-5.6%,-1.8%,2.7%,1989,22.4%,-15.0%,2.4%,34.6%,38.3%,-0.009,-0.4%,-1.0%,0.003
4,Opponent,82.0,19755,3301,6901,0.478,1838,2369,0.776,1094,2335,3429,2109,1935,8636,1989,707,425,1522,196,533,0.368,3105,6368,0.488
5,Opponent/G,,240.9,40.3,84.2,0.478,22.4,28.9,0.776,13.3,28.5,41.8,25.7,23.6,105.3,1989,8.6,5.2,18.6,2.4,6.5,0.368,37.9,77.7,0.488
6,Lg Rank,,21,3,1,12.0,16,13,19.0,4,11,5,15,14,6,1989,11,10,8,22,12,25.0,3,1,12.0
